PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,0,3,male,22.0,1,0,7.25,Unknown,S
2,1,1,female,38.0,1,0,71.28,C85,C
3,1,3,female,26.0,0,0,7.92,Unknown,S
4,1,1,female,35.0,1,0,53.1,C123,S
5,0,3,male,35.0,0,0,8.05,B5,S
6,0,3,male,24.0,0,0,8.46,Unknown,Q
7,0,1,male,54.0,0,0,51.86,E46,S
8,0,3,male,2.0,3,1,21.08,Unknown,S
9,1,3,female,27.0,0,2,11.13,Unknown,S
10,1,2,female,14.0,1,0,30.07,Unknown,C
11,1,3,female,4.0,1,1,16.7,G6,S
12,1,1,female,58.0,0,0,26.55,C103,S
13,0,3,male,20.0,0,0,8.05,Unknown,S
14,0,3,male,39.0,1,5,31.28,Unknown,S
15,0,3,female,14.0,0,0,7.85,Unknown,S
16,1,2,female,55.0,0,0,16.0,Unknown,S
17,0,3,male,2.0,4,1,29.12,Unknown,Q
18,1,2,male,29.0,0,0,13.0,Unknown,S
19,0,3,female,31.0,1,0,18.0,Unknown,S
20,1,3,female,24.0,0,0,7.22,Unknown,C
21,0,2,male,35.0,0,0,26.0,Unknown,S
22,1,2,male,34.0,0,0,13.0,D56,S
23,1,3,female,15.0,0,0,8.03,Unknown,Q
24,1,1,male,28.0,0,0,35.5,A6,S
25,0,3,female,8.0,3,1,21.08,Unknown,S
26,1,3,female,38.0,1,5,31.39,Unknown,S
27,0,3,male,24.0,0,0,7.22,Unknown,C
28,0,1,male,19.0,3,2,263.0,C23 C25 C27,S
29,1,3,female,24.0,0,0,7.88,Unknown,Q
30,0,3,male,24.0,0,0,7.9,Unknown,S
31,0,1,male,40.0,0,0,27.72,Unknown,C
32,1,1,female,37.0,1,0,146.52,B78,C
33,1,3,female,24.0,0,0,7.75,Unknown,Q
34,0,2,male,66.0,0,0,10.5,Unknown,S
35,0,1,male,28.0,1,0,82.17,Unknown,C
36,0,1,male,42.0,1,0,52.0,Unknown,S
37,1,3,male,24.0,0,0,7.23,Unknown,C
38,0,3,male,21.0,0,0,8.05,Unknown,S
39,0,3,female,18.0,2,0,18.0,Unknown,S
40,1,3,female,14.0,1,0,11.24,Unknown,C
41,0,3,female,40.0,1,0,9.48,Unknown,S
42,0,2,female,27.0,1,0,21.0,Unknown,S
43,0,3,male,24.0,0,0,7.9,Unknown,C
44,1,2,female,3.0,1,2,41.58,Unknown,C
45,1,3,female,19.0,0,0,7.88,Unknown,Q
46,0,3,male,24.0,0,0,8.05,Unknown,S
47,0,3,male,24.0,1,0,15.5,Unknown,Q
48,1,3,female,24.0,0,0,7.75,Unknown,Q
49,0,3,male,24.0,2,0,21.68,Unknown,C
50,0,3,female,18.0,1,0,17.8,Unknown,S
51,0,3,male,7.0,4,1,39.69,Unknown,S
52,0,3,male,21.0,0,0,7.8,Unknown,S
53,1,1,female,49.0,1,0,76.73,D33,C
54,1,2,female,29.0,1,0,26.0,Unknown,S
55,0,1,male,65.0,0,1,61.98,B30,C
56,1,1,male,37.0,0,0,35.5,C52,S
57,1,2,female,21.0,0,0,10.5,Unknown,S
58,0,3,male,28.5,0,0,7.23,Unknown,C
59,1,2,female,5.0,1,2,27.75,Unknown,S
60,0,3,male,11.0,5,2,46.9,Unknown,S
61,0,3,male,22.0,0,0,7.23,Unknown,C
62,1,1,female,38.0,0,0,80.0,B28,
63,0,1,male,45.0,1,0,83.48,C83,S
64,0,3,male,4.0,3,2,27.9,Unknown,S
65,0,1,male,37.0,0,0,27.72,Unknown,C
66,1,3,male,24.0,1,1,15.25,Unknown,C
67,1,2,female,29.0,0,0,10.5,F33,S
68,0,3,male,19.0,0,0,8.16,Unknown,S
69,1,3,female,17.0,4,2,7.92,Unknown,S
70,0,3,male,26.0,2,0,8.66,Unknown,S
71,0,2,male,32.0,0,0,10.5,Unknown,S
72,0,3,female,16.0,5,2,46.9,Unknown,S
73,0,2,male,21.0,0,0,73.5,Unknown,S
74,0,3,male,26.0,1,0,14.45,Unknown,C
75,1,3,male,32.0,0,0,56.5,Unknown,S
76,0,3,male,25.0,0,0,7.65,F G73,S
77,0,3,male,24.0,0,0,7.9,Unknown,S
78,0,3,male,24.0,0,0,8.05,Unknown,S
79,1,2,male,0.83,0,2,29.0,Unknown,S
80,1,3,female,30.0,0,0,12.48,Unknown,S
81,0,3,male,22.0,0,0,9.0,Unknown,S
82,1,3,male,29.0,0,0,9.5,Unknown,S
83,1,3,female,24.0,0,0,7.79,Unknown,Q
84,0,1,male,28.0,0,0,47.1,Unknown,S
85,1,2,female,17.0,0,0,10.5,Unknown,S
86,1,3,female,33.0,3,0,15.85,Unknown,S
87,0,3,male,16.0,1,3,34.38,Unknown,S
88,0,3,male,24.0,0,0,8.05,Unknown,S
89,1,1,female,23.0,3,2,263.0,C23 C25 C27,S
90,0,3,male,24.0,0,0,8.05,Unknown,S
91,0,3,male,29.0,0,0,8.05,Unknown,S
92,0,3,male,20.0,0,0,7.85,Unknown,S
93,0,1,male,46.0,1,0,61.18,E31,S
94,0,3,male,26.0,1,2,20.58,Unknown,S
95,0,3,male,59.0,0,0,7.25,Unknown,S
96,0,3,male,24.0,0,0,8.05,Unknown,S
97,0,1,male,71.0,0,0,34.65,A5,C
98,1,1,male,23.0,0,1,63.36,D10 D12,C
99,1,2,female,34.0,0,1,23.0,Unknown,S
100,0,2,male,34.0,1,0,26.0,Unknown,S
